platform,method,runningTime,width,height
OpenCL,Otsu,5.49998,3840,2160
OpenCL,Otsu,5.43298,3840,2160
OpenCL,Otsu,5.46892,3840,2160
OpenCL,Otsu,5.12456,3840,2160
OpenCL,Otsu,5.39981,3840,2160
OpenCL,Otsu,5.22504,3840,2160
OpenCL,Otsu,5.20972,3840,2160
OpenCL,Otsu,5.23153,3840,2160
OpenCL,Otsu,5.65674,3840,2160
OpenCL,Otsu,5.23682,3840,2160
OpenCL,Otsu,5.21962,3840,2160
OpenCL,Otsu,5.11162,3840,2160
OpenCL,Otsu,5.16282,3840,2160
OpenCL,Otsu,5.17934,3840,2160
OpenCL,Otsu,5.39348,3840,2160
OpenCL,Otsu,5.29832,3840,2160
OpenCL,Otsu,5.06034,3840,2160
OpenCL,Otsu,5.29161,3840,2160
OpenCL,Otsu,5.34935,3840,2160
OpenCL,Otsu,5.24713,3840,2160
OpenCL,Otsu,5.52663,3840,2160
OpenCL,Otsu,5.25945,3840,2160
OpenCL,Otsu,5.2021,3840,2160
OpenCL,Otsu,5.31171,3840,2160
OpenCL,Otsu,5.39251,3840,2160
OpenCL,Otsu,5.31071,3840,2160
OpenCL,Otsu,5.61707,3840,2160
OpenCL,Otsu,5.15538,3840,2160
OpenCL,Otsu,5.44207,3840,2160
OpenCL,Otsu,5.23562,3840,2160
OpenCL,Otsu,5.32255,3840,2160
OpenCL,Otsu,5.44123,3840,2160
OpenCL,Otsu,5.22597,3840,2160
OpenCL,Otsu,5.29332,3840,2160
OpenCL,Otsu,5.14841,3840,2160
OpenCL,Otsu,5.36172,3840,2160
OpenCL,Otsu,5.35574,3840,2160
OpenCL,Otsu,5.30918,3840,2160
OpenCL,Otsu,5.30668,3840,2160
OpenCL,Otsu,5.35626,3840,2160
OpenCL,Otsu,5.24157,3840,2160
OpenCL,Otsu,5.34573,3840,2160
OpenCL,Otsu,5.3728,3840,2160
OpenCL,Otsu,5.35261,3840,2160
OpenCL,Otsu,5.39006,3840,2160
